Id de contacto,Encuesta: Id.,Codigo de Cliente,Estado,Localidad,Edad,Sexo,Habla lengua indigena?,Temporalidad de Ingresos,Tiene cuenta bancaria?,Credito Activo?,Apoyo Programas,Remesas,Actividad Economica Principal,Tiene Cultivo,Tipo de cultivo,Parcelas Terreno,Animales,Numero vacas,Numero puercos borregos,Numero aves otros,Cuartos en la Casa,Material de Vivienda,Cuenta con Luz Electrica,Fuente de Iluminacion,Gasto Fuente de Iluminacion,Donde se consigue fuente de iluminacion,Aparatos que comprara con luz,Proveniencia agua para beber,Acceso transporte,Nombre de la cuenta
0031600002bvsdZ,a0s1600000Ehzq5,20-171-0039-024,Oaxaca,Cerro Liquid‡mbar,53,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,,Huautla ILUCentro
0031600002bvsdK,a0s1600000Ehzpl,20-098-0010-002,Oaxaca,Santa Cruz Teotil‡lpam,53,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,4,,Television;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
0031600002akGM1,a0s1600000Egyg6,20-027-0003-018,Oaxaca,La Concepci—n,80,Femenino,SI,Temporal,NO,,Ninguno,No,,,,,,,,,,,NO,Diesel (Candil); Le–a / Ocote,250,,Television;Radio;Licuadora,La hierven,,Huautla ILUCentro
0031600002akGO7,a0s1600000EgygG,20-355-0004-001,Oaxaca,San Mart’n Caballero,47,Masculino,SI,Constante,NO,,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil),150,,Television;Radio,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002akGOq,a0s1600000EgygQ,20-027-0003-009,Oaxaca,La Concepci—n,31,Masculino,SI,Temporal,NO,,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote; Generador,280,,Television;Radio;Refrigerador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002akGLw,a0s1600000Egyg1,20-027-0003-017,Oaxaca,La Concepci—n,34,Femenino,SI,Temporal,NO,,Ninguno,No,,,,,,,,,,,NO,Diesel (Candil); Le–a / Ocote,300,,Television;Radio;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002bvscS,a0s1600000Ehzpq,20-098-0010-003,Oaxaca,Santa Cruz Teotil‡lpam,30,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Ventilador;Licuadora,La hierven,,Huautla ILUCentro
0031600002bvsdU,a0s1600000Ehzq0,20-171-0077-052,Oaxaca,San Mart’n Caballero,51,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,,Huautla ILUCentro
0031600002byLNq,a0s1600000EimhN,20-002-0029-008,Oaxaca,Rancho Grande,41,Masculino,SI,Temporal,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Radio;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
0031600002byddV,a0s1600000Eiupz,20-171-0064-015,Oaxaca,Piedra Ancha,48,Masculino,SI,Temporal,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil),200,,Television;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
0031600002byLAL,a0s1600000Eimge,20-058-0013-004,Oaxaca,San Pedro,57,Masculino,SI,Temporal,NO,NO,ProCampo,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002byL7z,a0s1600000EimgP,20-058-0013-001,Oaxaca,San Pedro,76,Femenino,NO,Temporal,NO,NO,PROSPERA; 70 y M‡s,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,280,,Television;Radio;Refrigerador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002byLH5,a0s1600000Eimh8,20-002-0029-005,Oaxaca,Rancho Grande,75,Masculino,SI,Temporal,NO,NO,70 y M‡s,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,150,,Television;Radio;Licuadora,La hierven,,Huautla ILUCentro
0031600002bydes,a0s1600000EiuqO,20-171-0008-004,Oaxaca,Ca–ada de Mamey,26,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,360,,Television;Radio;Refrigerador;Ventilador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002bydf7,a0s1600000EiuqT,20-171-0008-005,Oaxaca,Ca–ada de Mamey,34,Masculino,NO,Temporal,NO,NO,ProCampo,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,260,,Television;Radio;Refrigerador;Ventilador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002bydvy,a0s1600000Eiv0V,20-171-0171-016,Oaxaca,Pe–a Grande,35,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Licuadora,La hierven,,Huautla ILUCentro
0031600002bydc3,a0s1600000Eiupa,20-002-0033-002,Oaxaca,Tembladera del Castillo,44,Masculino,SI,Temporal,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,150,,Television;Refrigerador;Licuadora,Compra de Garraf—n,,Huautla ILUCentro
0031600002QMaF4,a0s1600000BM3Mm,20-313-0001-022,Oaxaca,San Pedro Jocotipac,64,,NO,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
0031600002QMKfL,a0s1600000BM3EE,20-139-0008-002,Oaxaca,La Trinchera,37,,SI,Temporal,NO,,ProCampo,No,,,,,,,,,,,NO,Velas; Le–a / Ocote,300,,Television,La hierven,,Huautla ILUCentro
0031600002QMa7j,a0s1600000BM3M3,20-313-0001-020,Oaxaca,San Pedro Jocotipac,42,,SI,,,,,,,,,,,,,,,,,,,,,,,Huautla ILUCentro
